FPS,JANK,BigJANK,Max FrameTime(ms),CPU(%),CPU0(%),CPU1(%),CPU2(%),CPU3(%),CPU4(%),CPU5(%),CPU6(%),CPU7(%),CPU0(MHz),CPU1(MHz),CPU2(MHz),CPU3(MHz),CPU4(MHz),CPU5(MHz),CPU6(MHz),CPU7(MHz),CPU(°C),GPU(%),GPU(KHz),Battery(%),Battery(°C),Battery(mA),Battery(volt)
0,0,0,0.00,8.58,17.74,11.67,14.75,10.17,11.48,3.33,1.69,0.00,1844,1844,1844,1844,1844,1844,1844,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,10.17,12.07,11.86,20.69,15.52,19.67,3.33,0.00,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,13.65,18.97,23.73,22.81,16.67,20.97,1.67,1.67,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,14.53,21.82,31.67,21.43,25.00,15.52,1.69,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,10.92,20.00,10.34,18.64,14.29,18.33,3.33,0.00,0.00,864,864,864,864,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,10.66,21.15,15.38,20.75,17.31,9.62,1.89,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,10.59,18.46,16.67,23.53,14.06,2.99,1.49,11.94,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,8.86,10.34,10.34,16.67,15.25,16.67,3.28,0.00,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,11.02,17.86,13.33,11.86,10.71,18.33,8.47,3.33,0.00,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,11.85,18.97,18.33,15.00,18.03,16.67,5.00,4.76,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,12.16,24.14,15.00,20.00,15.52,16.67,4.92,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,8.03,13.73,11.54,19.23,15.69,7.69,1.89,0.00,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,9.89,16.67,15.15,17.91,12.50,13.43,1.49,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,8.51,10.53,5.45,15.52,10.71,18.03,3.33,3.28,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,10.76,18.03,12.07,20.34,16.95,11.86,5.00,3.39,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,33.00,0,4.083
0,0,0,0.00,11.18,12.50,18.97,16.95,19.67,8.33,10.00,3.28,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.76,15.00,13.79,18.33,19.30,18.64,0.00,0.00,0.00,864,864,864,864,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.09,12.00,13.73,12.24,17.65,7.84,0.00,1.92,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.74,21.74,15.94,17.65,12.50,7.35,1.47,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.53,16.95,14.75,12.28,15.52,18.03,1.67,1.64,0.00,541,541,541,541,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.71,19.67,7.27,17.74,16.67,20.00,4.92,1.67,0.00,1392,1392,1392,1392,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.50,22.03,21.31,12.07,15.25,10.17,0.00,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.50,24.59,13.56,12.28,15.52,16.67,1.67,0.00,0.00,864,864,864,864,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.75,22.00,19.61,14.29,14.29,8.00,0.00,3.92,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.74,20.29,15.15,10.77,12.12,7.25,5.88,1.47,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.34,10.91,10.34,18.33,11.86,16.39,1.67,6.67,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.66,15.79,16.39,23.73,12.07,18.64,1.69,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.67,17.24,12.07,10.91,16.39,16.13,1.67,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.16,14.29,18.97,16.95,12.50,15.00,5.00,0.00,0.00,864,864,864,864,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,16.28,20.69,19.67,16.07,23.33,32.20,13.56,5.08,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.64,17.24,15.25,16.95,16.95,8.47,1.67,0.00,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.00,20.69,16.39,19.30,21.31,13.56,4.92,1.67,0.00,1392,1392,1392,1392,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.66,18.97,15.25,15.52,18.64,23.73,10.00,1.67,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.13,18.64,15.25,17.54,15.25,10.00,4.76,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.13,17.54,13.56,15.52,19.35,16.67,1.69,0.00,0.00,864,864,864,864,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,14.44,21.67,14.81,16.95,19.30,11.67,20.97,11.67,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.98,18.18,12.07,15.79,20.34,8.33,3.33,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.79,14.04,10.53,18.64,12.50,15.25,0.00,3.39,0.00,541,541,541,541,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.02,15.79,13.56,13.79,14.04,18.33,5.00,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.48,18.64,20.00,15.25,16.67,11.86,9.84,1.67,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.76,20.00,12.28,13.79,19.67,16.67,1.69,0.00,0.00,541,541,541,541,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,14.83,24.56,13.79,19.30,18.97,29.51,8.33,3.39,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.47,15.00,16.67,12.28,15.52,5.17,1.67,0.00,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.04,16.67,15.52,13.79,16.95,16.67,1.67,0.00,0.00,541,541,541,541,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.81,16.95,16.39,18.33,12.28,21.67,3.39,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.32,21.31,17.86,8.93,16.95,11.67,3.28,1.67,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.97,19.67,21.67,20.34,21.05,21.31,0.00,0.00,0.00,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,15.07,25.45,17.54,17.86,20.00,25.42,11.67,1.64,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.30,18.64,15.00,15.52,15.25,5.08,3.39,0.00,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.37,18.33,16.39,21.67,15.79,18.33,1.67,0.00,0.00,541,541,541,541,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.55,22.95,18.03,19.67,15.79,18.33,5.00,3.33,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.50,22.41,17.24,15.52,16.95,13.11,5.00,3.33,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,13.42,15.79,20.00,21.67,16.67,21.67,1.67,11.86,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,15.04,25.42,17.86,25.00,21.67,20.00,8.33,5.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,13.60,24.59,25.86,15.52,15.52,15.00,8.20,3.28,0.00,864,864,864,864,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.02,16.67,19.35,16.67,12.07,21.67,1.67,0.00,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.58,20.34,13.79,13.56,18.64,22.95,10.00,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.04,19.64,21.67,21.31,14.75,6.78,0.00,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.74,18.64,22.22,18.64,15.52,20.00,1.67,0.00,0.00,864,864,864,864,1978,1978,1978,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,18.53,24.14,18.18,23.73,28.33,33.33,8.33,6.67,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.21,10.34,10.17,20.00,13.56,11.67,1.64,0.00,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.92,13.79,18.64,16.95,13.79,22.03,4.84,0.00,0.00,541,541,541,541,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,14.77,25.86,20.34,20.69,22.95,25.42,8.33,0.00,0.00,1392,1392,1392,1392,1152,1152,1152,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,9.62,15.25,15.79,17.74,15.25,10.17,0.00,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.15,13.79,12.28,18.33,12.28,20.00,5.00,0.00,0.00,1133,1133,1133,1133,1268,1268,1268,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,15.34,24.59,20.34,22.95,17.54,22.41,10.00,5.08,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.04,21.67,15.00,10.34,22.95,6.78,0.00,0.00,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,13.24,21.05,23.73,18.64,19.67,21.67,3.33,1.67,0.00,541,541,541,541,912,912,912,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,13.63,25.00,14.04,21.67,20.00,24.59,3.33,3.39,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.34,18.64,14.04,22.95,16.67,10.00,5.00,3.28,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.48,15.52,20.00,18.03,15.00,20.34,1.67,0.00,0.00,864,864,864,864,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,15.73,23.33,21.31,27.12,18.33,18.33,9.84,5.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.32,15.00,18.97,16.95,14.29,13.56,5.08,0.00,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.08,15.52,13.33,21.31,17.24,23.33,3.28,0.00,0.00,541,541,541,541,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.90,12.73,13.56,12.07,18.64,15.25,11.86,5.00,0.00,999,999,999,999,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.56,16.67,10.34,22.95,16.39,11.48,1.67,1.64,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.58,16.95,13.56,12.28,23.73,11.67,11.67,3.33,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,17.02,26.79,21.67,23.73,26.67,16.39,13.33,3.45,0.00,1392,1392,1392,1392,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.21,13.56,16.67,19.05,15.52,8.20,1.69,0.00,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.50,22.58,8.62,15.25,15.25,25.00,1.67,0.00,0.00,541,541,541,541,1037,1037,1037,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,11.78,21.67,15.52,16.95,10.71,18.97,10.17,0.00,0.00,1392,1392,1392,1392,1392,1392,1392,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,8.83,16.67,13.11,15.00,13.56,4.92,0.00,6.45,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,12.61,18.97,18.33,18.64,16.67,29.51,1.67,1.67,0.00,864,864,864,864,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,14.19,24.56,20.69,18.97,21.67,10.00,15.00,6.67,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083
0,0,0,0.00,10.69,21.67,16.39,19.35,18.97,5.08,4.92,3.33,0.00,541,541,541,541,816,816,816,1498,-1.00,-1.00,-1,81,32.00,0,4.083